"PP","Scenario","ScenarioReturn"
"PP_1","s1",97.10
"PP_1","s2",102.27
"PP_1","s3",100.52
"PP_1","s4",100.49
"PP_1","s5",100.01
"PP_1","s6",100.34
"PP_1","s7",98.48
"PP_1","s8",97.32
"PP_1","s9",100.57
"PP_1","s10",95.24
"PP_1","s11",103.24
"PP_1","s12",97.74
"PP_1","s13",98.67
"PP_1","s14",98.62
"PP_1","s15",96.81
"PP_1","s16",97.09
"PP_1","s17",100.67
"PP_1","s18",96.60
"PP_1","s19",103.75
"PP_1","s20",101.82
"PP_1","s21",96.97
"PP_1","s22",96.89
"PP_1","s23",101.28
"PP_1","s24",104.02
"PP_1","s25",96.10
"PP_1","s26",96.99
"PP_1","s27",102.48
"PP_1","s28",100.01
"PP_1","s29",102.84
"PP_1","s30",95.14
"PP_1","s31",100.08
"PP_1","s32",100.06
"PP_1","s33",99.58
"PP_1","s34",94.83
"PP_1","s35",100.37
"PP_1","s36",104.23
"PP_1","s37",102.44
"PP_1","s38",95.07
"PP_1","s39",100.13
"PP_1","s40",96.25
"PP_1","s41",99.91
"PP_1","s42",98.91
"PP_1","s43",97.32
"PP_1","s44",99.28
"PP_1","s45",103.64
"PP_1","s46",101.56
"PP_1","s47",97.42
"PP_1","s48",97.97
"PP_1","s49",97.67
"PP_1","s50",102.26
"PP_1","s51",108.02
"PP_1","s52",99.61
"PP_1","s53",101.20
"PP_1","s54",107.29
"PP_1","s55",102.21
"PP_1","s56",106.73
"PP_1","s57",102.23
"PP_1","s58",97.59
"PP_1","s59",95.88
"PP_1","s60",98.94
"PP_1","s61",96.78
"PP_1","s62",98.20
"PP_1","s63",99.48
"PP_1","s64",101.26
"PP_1","s65",102.46
"PP_1","s66",106.33
"PP_1","s67",104.02
"PP_1","s68",105.08
"PP_1","s69",102.14
"PP_1","s70",96.24
"PP_1","s71",95.72
"PP_1","s72",101.72
"PP_1","s73",100.40
"PP_1","s74",107.17
"PP_1","s75",107.73
"PP_1","s76",95.19
"PP_1","s77",97.55
"PP_1","s78",101.36
"PP_1","s79",96.49
"PP_1","s80",94.67
"PP_1","s81",96.61
"PP_1","s82",95.73
"PP_1","s83",101.46
"PP_1","s84",105.34
"PP_1","s85",96.97
"PP_1","s86",100.92
"PP_1","s87",96.64
"PP_1","s88",100.24
"PP_1","s89",103.36
"PP_1","s90",103.34
"PP_1","s91",106.58
"PP_1","s92",97.48
"PP_1","s93",104.07
"PP_1","s94",102.87
"PP_1","s95",106.47
"PP_1","s96",98.83
"PP_1","s97",100.98
"PP_1","s98",105.35
"PP_1","s99",95.88
"PP_1","s100",95.03
"PP_1","s101",94.22
"PP_1","s102",107.51
"PP_1","s103",103.86
"PP_1","s104",100.97
"PP_1","s105",100.64
"PP_1","s106",97.21
"PP_1","s107",99.13
"PP_1","s108",105.54
"PP_1","s109",97.38
"PP_1","s110",101.78
"PP_1","s111",97.26
"PP_1","s112",99.36
"PP_1","s113",107.29
"PP_1","s114",101.72
"PP_1","s115",103.33
"PP_1","s116",99.98
"PP_1","s117",98.79
"PP_1","s118",97.28
"PP_1","s119",99.35
"PP_1","s120",99.24
"PP_1","s121",101.00
"PP_1","s122",99.18
"PP_1","s123",99.12
"PP_1","s124",98.52
"PP_1","s125",105.82
"PP_1","s126",104.83
"PP_1","s127",103.99
"PP_1","s128",97.21
"PP_1","s129",105.47
"PP_1","s130",94.77
"PP_1","s131",102.87
"PP_1","s132",99.79
"PP_1","s133",97.11
"PP_1","s134",97.58
"PP_1","s135",95.41
"PP_1","s136",97.60
"PP_1","s137",101.96
"PP_1","s138",98.52
"PP_1","s139",101.59
"PP_1","s140",96.86
"PP_1","s141",98.26
"PP_1","s142",95.93
"PP_1","s143",101.00
"PP_1","s144",110.15
"PP_1","s145",103.10
"PP_1","s146",96.44
"PP_1","s147",94.90
"PP_1","s148",100.37
"PP_1","s149",100.18
"PP_1","s150",101.99
"PP_1","s151",97.10
"PP_1","s152",104.02
"PP_1","s153",97.77
"PP_1","s154",100.54
"PP_1","s155",104.80
"PP_1","s156",97.84
"PP_1","s157",94.95
