"PP","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ","Mean","CVaR"
"PP_1",0.00,476443.75,165954.06,0.00,34352.13,0.00,0.00,67259.48,255990.58,0.00,0.00,0.00,0.00,0.00,0.00,1008377.14,3069.21
"PP_2",0.00,164343.64,393859.58,0.00,48893.33,0.00,0.00,195084.41,197819.04,0.00,0.00,0.00,0.00,0.00,0.00,1016904.93,6439.82
"PP_3",0.00,8486.45,534339.82,0.00,22696.21,0.00,0.00,310603.60,123873.92,0.00,0.00,0.00,0.00,0.00,0.00,1022296.22,9810.43
"PP_4",0.00,0.00,485064.63,0.00,29416.27,0.00,0.00,485519.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1026121.29,13181.03
"PP_5",0.00,0.00,331279.94,0.00,49800.42,0.00,0.00,618919.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1027445.59,16551.64
"PP_6",0.00,0.00,259461.05,0.00,0.00,0.00,0.00,740538.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1028502.87,19922.25
"PP_7",0.00,0.00,171020.15,0.00,0.00,0.00,0.00,828979.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1029351.19,23292.86
"PP_8",0.00,0.00,89728.06,0.00,0.00,0.00,0.00,910271.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1030130.94,26663.46
"PP_9",0.00,0.00,16587.30,0.00,0.00,0.00,0.00,983412.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1030832.51,30034.07
"PP_10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1030991.61,33404.68
