Date,ADRA,ADRE,ADRU,AGG,DGT,DVY,EEM,EWA,EWD,EWG,EWH,EWI,EWJ,EWK,EWM,EWN,EWQ,EWS,EWU,EWW,EWY,EZA,EZU,FEU,FEZ,FXI,IAU,IBB,IDU,IEF,IEV,IGM,IGV,IJH,IJJ,IJR,IJT,ITOT,IVE,IVW,IWB,IWD,IWF,IWM,IWN,IWR,IWS,IWV,IWW,IWZ,IXC,IXG,IXJ,IYE,IYF,IYH,IYJ,IYK,IYM,IYR,IYY,IYZ,JKD,JKE,JKF,JKG,JKH,JKL,LQD,MDY,MTK,NY,NYC,OEF,ONEQ,RSP,RWR,SLYV,SPY,SPYG,SPYV,TIP,VAW,VB,VBK,VBR,VDC,VDE,VIS,VNQ,VO,VPU,VTI,VUG,XLB,XLE,XLF,XLK,XLP,XLU
2005-01-28,22.63,20.29,22.15,103.03,62.71,58.95,21.97,16.79,19.85,17.58,11.41,24.86,10.59,18.08,7.26,18.09,23.15,7.26,,24.74,30.4,37.12,35.32,36.7,38.67,17.75,4.27,70.3,68.89,85.66,36.84,43.12,38.91,63.75,61.79,52.12,52.16,,60.82,56.25,63.0,64.52,47.11,61.4,61.07,76.65,36.19,66.69,84.0,38.04,24.7,64.55,47.32,21.88,93.43,56.87,54.35,53.13,48.44,56.71,56.03,23.0,63.26,56.85,64.15,64.0,63.9,65.02,112.9,116.76,46.25,62.58,64.04,,80.31,37.42,57.15,,117.43,,,105.76,56.17,53.13,51.12,55.12,55.1,53.66,52.68,51.77,55.02,58.7,56.97,49.27,28.47,37.11,29.52,19.78,23.29,28.12
2005-01-31,22.93,20.8,22.32,102.9,63.14,59.54,22.26,16.83,19.91,17.75,11.52,25.13,10.59,18.14,7.23,18.4,23.51,7.32,,25.09,30.97,37.2,35.5,36.87,39.3,18.04,4.23,71.24,69.68,85.69,37.02,43.56,39.69,64.62,62.64,52.97,53.16,,61.38,56.5,63.52,65.21,47.48,62.12,61.75,77.35,36.68,67.27,84.84,38.54,24.81,65.16,47.19,22.14,94.92,56.99,54.88,53.58,48.98,56.35,56.37,22.98,63.65,57.46,64.8,64.76,64.67,66.01,112.9,118.1,47.12,63.03,64.62,,81.22,37.84,57.11,,118.16,,,105.82,57.0,54.16,52.09,56.17,55.2,54.37,53.23,51.71,55.71,59.18,57.55,49.79,28.82,37.55,29.87,19.92,23.35,28.44
2005-02-01,23.02,20.94,22.54,102.7,63.29,59.98,22.46,16.99,20.25,17.99,11.52,25.38,10.65,18.24,7.28,18.65,23.61,7.36,,25.58,30.9,37.12,35.88,37.29,39.39,17.88,4.21,71.53,70.28,85.37,37.4,43.79,39.78,65.16,63.02,53.41,53.46,,61.63,56.9,63.92,65.78,47.68,62.47,62.12,77.98,37.03,67.88,85.46,38.73,25.27,65.9,47.01,22.49,95.9,57.57,55.15,53.71,49.4,57.2,56.76,23.1,63.93,57.75,65.55,65.36,64.88,66.51,112.45,119.16,47.19,63.15,65.13,,81.49,38.12,57.24,,118.91,,,105.48,57.55,54.42,52.43,56.57,55.33,55.2,53.59,52.09,56.06,59.61,57.88,49.97,29.06,38.19,30.19,20.04,23.36,28.63
2005-02-02,22.99,20.97,22.59,102.78,63.69,60.25,22.53,17.21,20.28,18.05,11.49,25.39,10.69,18.29,7.28,18.69,23.71,7.3,,25.69,30.72,36.7,35.94,37.36,39.43,17.89,4.22,71.55,70.6,85.38,37.38,43.7,40.1,65.44,63.45,53.84,54.02,,61.99,57.19,64.18,66.04,47.87,62.94,62.59,78.38,37.2,68.13,85.83,38.86,25.45,65.65,47.21,22.78,95.85,57.58,55.17,54.07,49.8,57.85,57.03,23.34,63.91,57.84,65.8,65.57,65.02,66.94,112.35,119.71,46.93,63.54,65.4,,81.76,38.27,57.89,,119.27,,,105.3,58.12,54.69,52.75,56.79,55.76,56.09,53.68,52.67,56.41,59.96,58.14,50.19,29.36,38.72,30.19,20.05,23.55,28.74
2005-02-03,22.72,20.96,22.45,102.65,63.29,60.18,22.5,16.99,20.0,17.9,11.42,25.13,10.54,18.29,7.21,18.51,23.53,7.25,,25.73,30.77,36.37,35.6,37.13,39.35,17.83,4.17,70.96,70.75,85.24,37.2,43.29,39.75,65.37,63.19,53.68,53.83,,61.81,57.02,64.03,65.93,47.61,62.72,62.36,78.32,37.19,67.81,85.76,38.65,25.45,65.15,47.4,22.92,95.47,57.51,54.83,53.95,49.46,57.68,56.95,23.38,63.89,57.34,65.83,65.67,65.02,66.79,112.49,119.5,46.15,63.51,65.16,,81.15,38.19,58.28,,118.96,,,105.12,57.74,54.51,52.52,56.56,55.65,56.29,53.42,52.79,56.27,60.03,57.85,49.95,29.19,38.88,30.05,19.92,23.51,28.82
2005-02-04,23.0,21.29,22.65,103.08,64.0,60.8,22.85,17.17,20.13,18.05,11.62,25.27,10.58,18.45,7.18,18.55,23.48,7.28,,25.96,31.4,36.52,35.86,37.28,39.77,18.1,4.15,72.93,71.46,85.73,37.41,44.0,40.7,66.2,64.11,54.41,54.64,,62.6,57.6,64.72,66.67,48.17,63.39,63.07,79.29,37.63,68.7,86.68,39.02,25.67,65.93,47.89,23.07,96.66,58.17,55.53,54.57,49.93,58.5,57.53,23.75,64.34,58.13,66.47,66.4,65.9,67.59,112.85,120.95,47.0,64.0,65.64,,82.19,38.64,59.05,,120.23,,,105.8,58.53,55.31,53.09,57.41,56.12,56.6,53.76,53.55,57.12,60.88,58.58,50.27,29.52,39.05,30.41,20.26,23.64,29.1
2005-02-07,22.95,21.42,22.51,103.1,64.0,60.85,22.93,17.13,20.04,17.94,11.62,25.2,10.55,18.34,7.24,18.51,23.43,7.31,,25.99,31.7,35.8,35.6,37.07,39.44,18.4,4.14,72.7,71.32,85.85,37.15,44.1,40.62,66.18,64.12,54.44,54.56,,62.5,57.49,64.66,66.53,48.13,63.38,62.98,79.18,37.56,68.66,86.75,39.11,25.58,65.6,47.84,22.91,96.66,58.17,55.52,54.48,50.07,58.37,57.42,23.59,64.56,57.99,66.56,66.38,65.85,67.5,112.89,121.0,47.4,64.28,65.73,,82.06,38.57,58.89,,120.07,,,106.15,58.54,55.23,53.31,57.35,56.1,56.12,54.07,53.37,57.05,60.69,58.55,50.48,29.51,38.79,30.44,20.2,23.59,29.04
2005-02-08,22.89,21.48,22.54,103.16,64.14,60.83,22.97,17.07,20.1,17.96,11.7,25.07,10.49,18.25,7.28,18.49,23.42,7.37,,25.81,31.88,35.65,35.62,37.14,39.47,18.53,4.13,72.35,71.57,85.93,37.24,44.18,40.17,66.3,64.28,54.58,54.65,,62.51,57.44,64.7,66.69,48.24,63.53,63.02,79.27,37.61,68.67,86.76,39.18,25.78,65.86,47.45,23.11,96.31,58.3,55.71,54.46,49.97,58.5,57.45,23.54,64.7,58.02,66.57,66.64,65.9,67.63,113.3,121.24,47.3,64.41,65.74,,82.17,38.52,58.89,,120.21,,,106.67,58.45,55.44,53.42,57.48,56.05,56.68,54.07,53.5,57.09,60.93,58.65,50.5,29.51,39.07,30.32,20.3,23.62,29.21
2005-02-09,23.07,21.4,22.49,103.44,63.9,60.41,22.9,17.01,20.32,17.86,11.68,25.03,10.43,18.28,7.26,18.45,23.38,7.36,,26.32,31.65,36.26,35.55,37.11,39.35,18.39,4.13,70.28,71.27,86.35,37.15,43.5,39.32,65.48,63.5,53.48,53.56,,62.2,56.95,64.23,66.27,47.62,62.18,62.08,78.35,37.31,68.06,86.1,38.68,25.72,65.7,47.6,23.0,96.02,57.67,55.08,53.79,49.3,58.85,57.02,23.28,64.24,57.33,66.27,65.87,65.1,66.62,113.7,119.65,47.2,63.95,65.52,,80.82,38.18,59.47,,119.31,,,107.25,57.63,54.43,52.64,56.82,55.5,56.44,53.65,53.84,56.45,60.66,58.1,50.03,29.1,39.0,30.24,19.95,23.41,29.04
2005-02-10,23.15,21.45,22.69,102.91,64.16,60.69,23.01,17.47,20.02,18.0,11.66,25.45,10.52,18.34,7.25,18.55,23.63,7.38,,26.47,31.22,36.69,35.88,37.47,39.7,18.54,4.18,70.0,71.31,85.81,37.52,43.64,38.85,65.72,63.8,53.73,53.9,,62.45,57.25,64.48,66.66,47.82,62.28,62.2,78.72,37.41,68.28,86.64,38.8,26.22,66.43,47.87,23.65,96.39,57.74,55.3,54.03,50.06,59.06,57.17,23.16,64.5,57.43,66.54,66.0,65.24,66.74,113.3,119.97,46.5,64.13,65.71,,80.92,38.33,59.67,,119.74,,,106.63,58.37,54.58,52.46,56.99,55.73,57.9,53.91,54.25,56.75,60.71,58.3,50.13,29.49,40.07,30.33,19.99,23.4,29.07
