,LQD,IAU,MDY,VDE,IDU,FXI,VDC,IBB,EWM,VNQ
2005-02-02,112.9,4.27,116.76,53.66,68.89,17.75,55.1,70.3,7.26,51.77
2005-02-09,112.49,4.17,119.5,56.29,70.75,17.83,55.65,70.96,7.21,52.79
2005-02-16,113.3,4.18,119.97,57.9,71.31,18.54,55.73,70.0,7.25,54.25
2005-02-23,112.2,4.27,121.22,59.51,72.01,18.41,55.72,70.61,7.2,54.94
2005-03-02,111.85,4.34,121.2,62.16,70.36,18.81,55.27,70.16,7.11,52.74
2005-03-09,111.0,4.31,123.05,63.84,71.74,18.92,56.03,67.4,7.0,53.84
2005-03-16,110.27,4.42,122.75,61.01,72.11,18.79,55.54,65.49,7.08,53.61
2005-03-23,109.75,4.39,121.8,62.27,72.33,18.88,55.03,65.07,7.07,53.6
2005-03-30,108.9,4.25,119.99,60.58,70.44,18.28,54.65,65.7,6.85,51.5
2005-04-06,109.59,4.29,120.4,61.6,71.29,18.18,55.2,63.55,6.79,51.82
2005-04-13,108.3,4.26,121.25,62.57,72.46,18.49,55.47,65.7,6.69,52.24
2005-04-20,109.25,4.24,116.22,59.12,71.99,18.28,55.35,64.6,6.78,52.31
2005-04-27,109.71,4.32,117.05,59.87,72.09,18.15,54.76,65.45,6.76,52.74
2005-05-04,111.32,4.31,114.82,57.17,72.13,18.04,54.26,63.0,6.75,54.09
2005-05-11,110.5,4.3,118.24,58.68,72.79,18.53,55.54,65.44,7.13,55.6
2005-05-18,109.25,4.22,117.25,56.45,72.37,18.12,55.33,67.04,7.03,55.32
2005-05-25,109.98,4.2,121.41,57.1,72.98,18.15,56.48,67.2,6.94,57.35
2005-06-01,110.71,4.17,122.27,59.16,73.29,17.94,56.43,66.95,6.8,55.86
2005-06-08,111.94,4.21,124.28,60.63,74.59,18.03,56.67,66.85,6.76,57.19
2005-06-15,111.45,4.23,124.3,62.46,75.05,18.4,56.34,65.3,6.93,58.42
2005-06-22,110.47,4.34,126.77,64.7,75.72,18.43,56.41,67.5,7.03,59.24
2005-06-29,111.55,4.41,124.8,64.64,76.79,18.69,55.82,67.35,7.05,59.05
2005-07-06,112.1,4.35,125.25,63.76,77.35,19.02,55.15,67.9,6.92,58.7
2005-07-13,111.33,4.24,126.85,66.68,77.65,18.92,55.26,70.15,7.02,59.86
2005-07-20,110.6,4.19,128.78,65.47,78.38,19.24,56.78,72.75,7.23,60.23
2005-07-27,110.2,4.25,129.75,65.91,77.46,20.22,56.3,77.17,7.59,60.77
2005-08-03,111.01,4.28,132.0,69.11,79.03,20.5,57.13,76.34,7.41,62.97
2005-08-10,110.1,4.37,130.78,70.08,79.52,20.76,56.48,76.58,7.49,62.08
2005-08-17,110.02,4.45,130.45,72.17,77.86,21.62,55.98,75.2,7.49,59.38
2005-08-24,110.7,4.39,128.23,68.14,76.94,20.86,56.09,74.07,7.27,59.36
2005-08-31,110.81,4.38,129.05,69.76,78.8,20.54,55.81,74.82,7.35,59.86
2005-09-07,111.19,4.42,130.05,74.8,80.72,20.86,56.04,76.81,7.28,60.88
2005-09-14,110.62,4.47,130.75,73.64,80.74,20.64,56.35,78.32,7.28,61.49
2005-09-21,109.92,4.55,130.4,74.43,81.87,20.65,56.12,77.75,7.32,61.12
2005-09-28,110.18,4.64,127.54,76.78,80.13,20.75,54.92,76.5,7.28,59.29
2005-10-05,109.8,4.72,129.97,78.65,82.25,21.5,56.25,76.49,7.32,59.5
2005-10-12,108.71,4.73,125.83,69.9,78.17,19.98,55.57,73.25,7.21,58.25
2005-10-19,108.0,4.7,122.5,68.91,74.54,19.93,54.85,71.92,7.27,55.65
2005-10-26,107.91,4.6,123.43,66.17,73.09,19.18,55.47,72.07,7.1,56.45
2005-11-02,107.3,4.73,124.17,68.22,74.35,18.86,54.77,72.18,7.07,56.7
2005-11-09,106.24,4.6,130.64,73.64,75.48,19.88,56.06,75.51,7.21,57.77
2005-11-16,107.06,4.65,130.98,68.3,75.35,19.91,56.73,77.45,7.14,59.58
2005-11-23,107.52,4.85,132.69,70.84,75.9,20.15,56.38,78.14,7.03,60.38
2005-11-30,107.9,4.95,135.7,73.75,77.3,20.51,57.28,78.91,7.15,62.16
2005-12-07,106.95,5.02,136.02,73.67,76.96,20.73,57.02,77.2,7.05,62.04
2005-12-14,107.01,5.2,135.75,76.0,77.05,20.66,56.53,77.12,7.05,61.44
2005-12-21,107.14,5.02,136.29,75.85,79.09,20.8,57.78,77.47,7.09,61.59
2005-12-28,107.55,5.02,136.3,73.78,77.21,21.14,56.86,78.68,7.11,61.8
2006-01-04,107.82,5.16,135.11,71.87,76.62,20.74,56.35,77.51,6.83,59.73
2006-01-11,108.37,5.24,137.88,74.95,77.5,21.49,56.19,79.73,6.93,61.68
2006-01-18,108.09,5.45,140.3,77.3,77.84,22.18,56.42,80.83,7.1,63.09
2006-01-25,108.36,5.56,140.79,80.58,79.89,23.07,56.44,81.45,7.05,62.83
2006-02-01,107.7,5.58,141.23,79.72,78.44,23.04,56.22,79.4,7.19,63.22
2006-02-08,106.75,5.71,141.4,80.12,77.63,23.35,56.26,80.6,7.18,63.9
2006-02-15,107.0,5.62,139.8,75.83,77.18,23.23,55.99,79.11,7.27,63.1
2006-02-22,107.07,5.46,141.85,75.4,77.64,23.89,57.22,82.65,7.36,64.59
2006-03-01,107.53,5.47,142.27,76.04,78.76,24.64,57.3,82.95,7.37,65.82
2006-03-08,106.2,5.68,143.31,77.18,78.98,24.41,56.93,84.99,7.38,65.54
2006-03-15,105.43,5.44,138.82,73.27,76.67,23.21,57.57,82.3,7.33,66.44
2006-03-22,106.66,5.53,142.83,77.5,79.0,23.97,58.09,83.6,7.37,69.06
2006-03-29,106.2,5.48,142.72,76.85,77.43,24.39,58.1,82.25,7.43,67.65
2006-04-05,105.54,5.86,144.55,79.45,76.0,24.83,57.65,82.04,7.48,67.78
2006-04-12,105.02,5.94,146.29,81.17,76.23,25.92,57.49,79.7,7.64,66.38
2006-04-19,104.15,5.97,142.94,80.28,74.14,25.53,56.57,78.11,7.56,63.75
2006-04-26,104.43,6.11,147.79,84.42,76.41,27.07,56.93,78.64,7.72,65.99
2006-05-03,104.41,6.3,145.69,81.92,76.48,25.49,57.75,77.75,7.75,65.37
2006-05-10,103.78,6.77,147.63,84.74,77.09,27.07,57.94,76.43,7.94,65.19
2006-05-17,103.96,7.13,147.5,85.37,77.32,27.01,58.15,74.99,8.03,64.83
2006-05-24,104.5,6.76,139.12,77.98,75.34,25.5,57.47,71.48,7.74,62.94
2006-05-31,104.41,6.48,139.1,79.52,76.44,25.06,58.62,72.62,7.59,63.5
2006-06-07,103.74,6.27,142.28,80.78,78.64,24.64,58.47,74.66,7.61,65.01
2006-06-14,104.36,6.09,136.34,76.74,78.53,23.68,57.73,72.83,7.29,65.61
2006-06-21,103.64,5.72,135.75,76.98,78.76,23.64,57.71,72.42,7.2,65.37
2006-06-28,102.92,5.78,134.13,75.35,77.04,23.83,58.11,69.79,7.22,64.74
2006-07-05,102.9,5.96,138.91,81.6,78.74,25.71,59.12,71.91,7.33,65.8
2006-07-12,102.75,6.3,138.83,82.93,78.94,25.96,59.32,72.83,7.37,67.58
2006-07-19,103.59,6.56,133.5,82.23,79.78,24.78,58.89,69.88,7.28,67.2
2006-07-26,104.17,6.26,131.85,79.61,81.51,25.31,59.38,68.75,7.22,67.76
2006-08-02,104.1,6.3,133.2,83.23,82.63,26.11,59.44,70.71,7.46,68.12
2006-08-09,104.4,6.42,136.52,84.42,83.21,26.09,60.05,72.44,7.45,69.04
2006-08-16,104.72,6.33,133.74,83.98,83.02,26.64,60.31,69.2,7.55,68.04
2006-08-23,105.31,6.12,136.56,81.79,82.87,26.85,60.82,72.0,7.53,69.08
2006-08-30,105.7,6.18,134.25,83.57,83.78,26.17,61.22,71.76,7.59,70.01
2006-09-06,106.38,6.23,136.98,80.89,85.1,26.38,62.0,73.74,7.71,71.28
2006-09-13,105.57,6.13,135.17,80.2,83.74,26.24,61.72,71.72,7.75,70.67
2006-09-20,105.81,5.72,137.62,75.3,82.78,26.39,62.46,72.71,7.68,72.51
2006-09-27,106.98,5.8,136.43,75.14,82.43,26.97,62.36,72.65,7.73,72.14
2006-10-04,106.88,5.98,138.55,77.35,83.54,27.16,62.39,73.88,7.78,72.07
2006-10-11,106.76,5.7,140.2,76.45,83.76,27.61,62.41,75.92,7.8,73.88
2006-10-18,105.78,5.76,142.63,77.37,84.28,28.04,62.34,77.6,7.91,74.24
2006-10-25,105.73,5.95,143.7,81.0,86.34,28.28,62.5,78.77,7.92,75.2
2006-11-01,106.5,5.92,145.11,82.78,87.7,28.7,63.76,79.44,7.98,76.29
2006-11-08,107.18,6.2,141.42,80.86,87.22,28.8,62.71,78.35,8.17,74.31
2006-11-15,107.17,6.3,143.93,84.88,87.39,29.81,62.72,79.03,8.41,73.72
2006-11-22,107.13,6.13,147.65,82.81,88.07,30.94,63.51,81.19,8.52,75.74
2006-11-29,108.0,6.35,147.84,84.26,88.57,32.01,63.41,81.2,8.84,80.01
