,AGG,IEF,IAU,XLK,IXC,EWS,XLU,EWJ,XLP,IYR,IYZ,VUG,IBB,EWM,VNQ
2005-02-02,103.03,85.66,4.27,19.78,24.7,7.26,28.12,10.59,23.29,56.71,23.0,49.27,70.3,7.26,51.77
2005-02-09,102.65,85.24,4.17,19.92,25.45,7.25,28.82,10.54,23.51,57.68,23.38,49.95,70.96,7.21,52.79
2005-02-16,102.91,85.81,4.18,19.99,26.22,7.38,29.07,10.52,23.4,59.06,23.16,50.13,70.0,7.25,54.25
2005-02-23,102.7,85.18,4.27,19.92,26.97,7.46,29.32,10.54,23.5,59.86,23.02,50.47,70.61,7.2,54.94
2005-03-02,102.39,84.69,4.34,19.88,27.94,7.43,28.69,10.58,23.29,57.5,23.26,50.25,70.16,7.11,52.74
2005-03-09,101.8,83.97,4.31,19.99,28.71,7.46,29.25,10.81,23.61,58.6,23.6,50.66,67.4,7.0,53.84
2005-03-16,101.16,83.48,4.42,20.15,27.91,7.55,29.38,11.03,23.43,58.5,23.39,50.63,65.49,7.08,53.61
2005-03-23,101.27,83.68,4.39,19.56,28.37,7.5,29.47,10.88,23.2,58.32,22.93,49.83,65.07,7.07,53.6
2005-03-30,100.84,83.02,4.25,19.37,27.27,7.34,28.72,10.71,22.91,55.7,22.65,49.32,65.7,6.85,51.5
2005-04-06,100.93,83.69,4.29,19.56,27.73,7.24,29.15,10.49,23.02,56.1,22.9,49.42,63.55,6.79,51.82
2005-04-13,101.0,83.48,4.26,19.73,28.2,7.43,29.68,10.61,23.2,56.7,23.31,49.84,65.7,6.69,52.24
2005-04-20,101.7,84.52,4.24,19.05,26.95,7.33,29.53,10.28,23.08,57.05,22.99,48.67,64.6,6.78,52.31
2005-04-27,101.89,84.72,4.32,19.05,27.02,7.3,29.53,10.2,22.86,57.48,22.71,48.44,65.45,6.76,52.74
2005-05-04,102.49,85.82,4.31,18.7,26.32,7.25,29.63,10.07,22.72,58.54,22.86,47.81,63.0,6.75,54.09
2005-05-11,102.1,85.67,4.3,19.08,27.09,7.44,29.89,10.45,23.16,60.01,22.7,49.04,65.44,7.13,55.6
2005-05-18,102.16,85.56,4.22,19.12,26.05,7.45,29.65,10.16,23.05,60.15,22.49,48.79,67.04,7.03,55.32
2005-05-25,102.25,85.92,4.2,20.0,26.17,7.42,29.88,10.16,23.55,62.34,22.99,50.38,67.2,6.94,57.35
2005-06-01,102.62,86.27,4.17,20.34,26.9,7.4,29.92,10.1,23.46,60.69,23.08,50.81,66.95,6.8,55.86
2005-06-08,103.17,87.05,4.21,20.47,27.47,7.43,30.38,10.25,23.53,62.15,23.28,51.24,66.85,6.76,57.19
2005-06-15,103.0,86.82,4.23,20.28,28.01,7.57,30.61,10.23,23.39,63.4,23.3,51.05,65.3,6.93,58.42
2005-06-22,102.63,86.18,4.34,20.29,28.79,7.53,30.73,10.28,23.35,64.28,23.6,51.28,67.5,7.03,59.24
2005-06-29,103.16,86.78,4.41,20.24,29.05,7.62,31.34,10.24,22.97,63.35,23.3,50.86,67.35,7.05,59.05
2005-07-06,103.38,86.96,4.35,19.92,28.81,7.57,31.56,10.14,22.75,63.6,23.4,50.57,67.9,6.92,58.7
2005-07-13,102.59,85.98,4.24,20.09,29.96,7.48,31.62,10.09,22.7,64.85,23.4,50.68,70.15,7.02,59.86
2005-07-20,102.24,85.22,4.19,21.04,29.69,7.67,32.03,10.19,23.37,65.0,23.88,52.13,72.75,7.23,60.23
2005-07-27,101.8,84.75,4.25,21.01,29.47,8.19,31.62,10.39,23.21,65.56,23.6,52.43,77.17,7.59,60.77
2005-08-03,102.3,85.31,4.28,21.16,30.47,8.15,32.26,10.32,23.58,67.95,24.18,53.13,76.34,7.41,62.97
2005-08-10,101.6,84.43,4.37,21.21,31.18,8.14,32.47,10.33,23.29,67.2,24.2,52.77,76.58,7.49,62.08
2005-08-17,101.54,84.32,4.45,21.07,32.39,8.13,31.77,10.97,23.16,64.15,24.11,52.72,75.2,7.49,59.38
2005-08-24,102.05,85.07,4.39,20.74,30.63,7.95,31.45,10.9,23.21,63.8,23.85,52.01,74.07,7.27,59.36
2005-08-31,102.24,85.34,4.38,20.67,31.12,7.9,32.2,11.1,23.01,64.43,23.67,51.72,74.82,7.35,59.86
2005-09-07,102.65,86.03,4.42,20.8,33.1,7.95,32.99,11.23,23.04,65.4,23.88,51.98,76.81,7.28,60.88
2005-09-14,102.22,85.5,4.47,21.03,32.69,7.96,33.04,11.19,23.26,65.9,23.9,52.47,78.32,7.28,61.49
2005-09-21,101.94,85.12,4.55,20.85,32.92,8.0,33.54,11.62,23.13,65.85,23.78,52.12,77.75,7.32,61.12
2005-09-28,102.05,85.34,4.64,20.56,33.97,7.92,32.6,11.76,22.69,63.47,23.45,51.52,76.5,7.28,59.29
2005-10-05,101.6,84.68,4.72,20.76,34.36,8.03,33.63,12.39,23.12,63.46,23.45,51.73,76.49,7.32,59.5
2005-10-12,101.1,83.97,4.73,20.16,30.97,7.73,31.99,11.62,22.86,61.65,22.99,50.67,73.25,7.21,58.25
2005-10-19,100.53,83.49,4.7,19.93,30.4,7.91,30.51,11.95,22.62,59.5,22.32,50.25,71.92,7.27,55.65
2005-10-26,100.82,83.66,4.6,20.05,29.18,7.5,29.95,11.5,22.89,60.1,22.07,50.63,72.07,7.1,56.45
2005-11-02,100.38,83.15,4.73,20.02,29.95,7.43,30.44,11.81,22.7,60.34,22.73,50.49,72.18,7.07,56.7
