"Time","Type","Expected Value","CVaR","Trading Cost","Maximum Value","Minimum Value","LQD","IEF","IAU","MDY","VDE","EZA","IDU","FXI","VDC","RWR","IYF","VO","IBB","EWM","VNQ"
"2008-02-27","risk_averse",1001361.25,1625.93,0.00,1010994.78,979232.96,213882.22,241686.68,60699.05,34867.70,37758.23,19931.27,45476.24,26545.02,151904.54,9136.20,37194.26,32233.36,19841.38,30868.89,37974.97
"2008-02-27","risk_neutral",1001361.25,1625.93,0.00,1010994.78,979232.96,213882.22,241686.68,60699.05,34867.70,37758.23,19931.27,45476.24,26545.02,151904.54,9136.20,37194.26,32233.36,19841.38,30868.89,37974.97
"2008-03-26","risk_averse",988537.80,1764.07,0.00,1010994.78,979232.96,211350.71,245373.88,59243.28,33389.20,35607.49,18820.02,44051.96,23371.91,153129.21,9498.35,35228.38,30689.84,19481.61,28189.88,39781.79
"2008-03-26","risk_neutral",994354.60,20838.27,1886.13,1308277.95,863011.01,0.00,0.00,59243.28,0.00,0.00,18820.02,0.00,899645.87,0.00,9498.35,0.00,0.00,0.00,0.00,0.00
"2008-04-23","risk_averse",1004251.56,2330.14,50.00,1019843.93,988358.44,211674.74,238699.24,55192.46,35529.02,39598.39,20300.61,47034.79,28287.85,153997.62,10344.27,36896.40,32671.14,20064.95,29613.86,43078.45
"2008-04-23","risk_neutral",1181991.55,28203.32,0.00,1539450.68,1045511.68,0.00,0.00,55192.46,0.00,0.00,20300.61,0.00,1088873.28,0.00,10344.27,0.00,0.00,0.00,0.00,0.00
"2008-05-21","risk_averse",1006941.59,1753.82,0.00,1021338.97,996080.58,210844.41,237192.06,57597.63,37293.30,42654.18,21693.72,48602.94,27085.35,154264.82,9905.09,35300.72,33781.39,19908.19,28020.94,41284.31
"2008-05-21","risk_neutral",1140676.52,34845.48,186.89,1569007.71,1087792.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1121877.33,0.00,9905.09,0.00,0.00,0.00,0.00,0.00
"2008-06-18","risk_averse",979528.69,1930.08,50.00,992851.48,961423.68,205902.90,232024.60,56141.87,37345.26,42460.48,18894.53,48598.14,24818.08,150301.32,9644.29,32347.64,33302.99,20049.53,25921.18,40307.99
"2008-06-18","risk_neutral",1045533.57,29665.52,0.00,1414786.60,959709.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1027967.00,0.00,9644.29,0.00,0.00,0.00,0.00,0.00
